Disease,Treatment,Tablet Name,Dosage,Time Taken,Effect Time Duration,Which Age,Company,Purity,Side Effects,Price
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,200 mg,Every 8 hours,4 hours,0-12,Zenith Biocare,99.9%,Drowsiness,₹788.00
Bacterial Infection,Antibiotic Therapy,Doxycycline,200 mg,Every 6 hours,8 hours,36-50,Sunrise Pharma,95.8%,Stomach upset,₹231.30
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,650 mg,Every 8 hours,24 hours,13-18,Nova Health,96.5%,Constipation,₹627.49
Fever,Antipyretic Therapy,Paracetamol,2.5 mg,Once weekly,24 hours,51-65,Horizon Meds,95.8%,"Drowsiness, Dry mouth, None reported",₹509.02
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,5 mg,Once weekly,8 hours,51-65,PurePath Pharma,95.2%,Stomach upset,₹561.51
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,25 mg,After meals,8 hours,19-35,Wellspring Rx,95.6%,"Dizziness, Fatigue, Mild rash",₹790.23
Headache,Analgesic Therapy,Ibuprofen,300 mg,Once weekly,4 hours,0-12,Horizon Meds,96.0%,"Dry mouth, Mild rash",₹749.69
Bacterial Infection,Antibiotic Therapy,Ciprofloxacin,10 mg,Every 6 hours,10 hours,51-65,Zenith Biocare,97.6%,"None reported, Loss of appetite, Dizziness",₹792.54
Migraine,Triptan Therapy,Rizatriptan,5 mg,Once daily - Night,6 hours,19-35,Vitacore Pharmaceuticals,98.0%,"Mild rash, Headache, Diarrhea",₹542.03
Acidity / GERD,Proton Pump Inhibitor,Pantoprazole,1000 mg,Once daily - Morning,4 hours,65+,Wellspring Rx,99.1%,Nausea,₹288.85
Hypertension,Diuretic Therapy,Metoprolol,10 mg,Every 6 hours,18 hours,51-65,Sunrise Pharma,95.5%,"Dry mouth, Loss of appetite, Nausea",₹710.73
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,10 mg,Once daily - Morning,10 hours,19-35,Sunrise Pharma,99.4%,Diarrhea,₹218.10
Migraine,Analgesic Therapy,Paracetamol,1000 mg,As needed (SOS),6 hours,13-18,Greenfield Biotech,99.8%,Stomach upset,₹28.87
Chronic Pain,Analgesic Therapy,Diclofenac,750 mg,Thrice daily - After meals,10 hours,13-18,Silver Cross Pharma,95.5%,None reported,₹404.32
Asthma,Steroid Inhalation,Budesonide,50 mg,Thrice daily - After meals,8 hours,0-12,Zenith Biocare,95.9%,"Dizziness, Drowsiness",₹822.12
Acidity / GERD,Proton Pump Inhibitor,Ranitidine,250 mg,As needed (SOS),12 hours,0-12,MedLife Labs,99.3%,"Dry mouth, Constipation",₹818.45
Acidity / GERD,Antacid Therapy,Omeprazole,300 mg,As needed (SOS),12 hours,65+,TrueMed Industries,97.1%,"Drowsiness, Stomach upset, Constipation",₹168.05
Fever,Antipyretic Therapy,Paracetamol,250 mg,Every 8 hours,8 hours,19-35,Wellspring Rx,95.3%,"Mild rash, Constipation, None reported",₹566.57
Migraine,Analgesic Therapy,Paracetamol,50 mg,As needed (SOS),12 hours,36-50,Silver Cross Pharma,96.4%,Headache,₹362.02
Depression,Antidepressant Therapy,Escitalopram,300 mg,Before meals,18 hours,51-65,Sunrise Pharma,96.5%,Stomach upset,₹669.61
Cough & Cold,Antitussive Therapy,Ambroxol,200 mg,Every 6 hours,8 hours,51-65,Cygnus Life Sciences,98.9%,"Dry mouth, Diarrhea, Drowsiness",₹246.95
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,1000 mg,Thrice daily - After meals,10 hours,13-18,Nova Health,95.7%,Headache,₹836.47
Cough & Cold,Antitussive Therapy,Ambroxol,150 mg,Once weekly,8 hours,65+,Silver Cross Pharma,96.9%,"Headache, Dry mouth",₹560.40
Common Cold,Antihistamine Therapy,Phenylephrine Combo,25 mg,Twice daily - Morning & Night,24 hours,0-12,Horizon Meds,96.2%,Fatigue,₹120.27
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,300 mg,Every 8 hours,18 hours,51-65,Cygnus Life Sciences,99.4%,"None reported, Fatigue, Blurred vision",₹226.24
Bacterial Infection,Antibiotic Therapy,Doxycycline,500 mg,Thrice daily - After meals,10 hours,36-50,MedLife Labs,98.5%,Dizziness,₹290.78
Skin Infection (Fungal),Antifungal Therapy,Fluconazole,10 mg,Thrice daily - After meals,18 hours,65+,Greenfield Biotech,98.5%,Stomach upset,₹351.20
Skin Infection (Fungal),Antifungal Therapy,Terbinafine,2.5 mg,Thrice daily - After meals,18 hours,36-50,PurePath Pharma,99.6%,None reported,₹749.51
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,2.5 mg,After meals,10 hours,36-50,Wellspring Rx,97.6%,"Loss of appetite, Blurred vision, Constipation",₹763.96
High Cholesterol,Statin Therapy,Rosuvastatin,150 mg,Every 6 hours,2 hours,36-50,TrueMed Industries,98.3%,"Insomnia, Dry mouth",₹715.71
Hypertension,Diuretic Therapy,Amlodipine,150 mg,Once weekly,2 hours,0-12,Zenith Biocare,97.1%,"Dry mouth, Nausea",₹227.05
Arthritis,NSAID Therapy,Ibuprofen,100 mg,After meals,18 hours,19-35,Wellspring Rx,96.2%,Fatigue,₹24.32
Skin Infection (Fungal),Antifungal Therapy,Terbinafine,25 mg,Once daily - Night,2 hours,0-12,Nova Health,96.0%,Constipation,₹136.31
Hypertension,Beta Blocker Therapy,Amlodipine,300 mg,Thrice daily - After meals,24 hours,65+,Vitacore Pharmaceuticals,98.8%,Constipation,₹519.30
Chronic Pain,Analgesic Therapy,Tramadol,50 mg,Once daily - Night,2 hours,19-35,PurePath Pharma,98.3%,"Stomach upset, Insomnia",₹174.99
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,650 mg,Before meals,4 hours,51-65,Sunrise Pharma,96.7%,"Diarrhea, Mild rash",₹66.06
Vitamin D Deficiency,Supplementation,Cholecalciferol,1000 mg,As needed (SOS),24 hours,0-12,Wellspring Rx,99.7%,"None reported, Fatigue, Insomnia",₹136.82
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,750 mg,Every 8 hours,24 hours,36-50,Wellspring Rx,99.0%,"Dizziness, Mild rash, Headache",₹707.48
Headache,Analgesic Therapy,Ibuprofen,25 mg,Every 6 hours,18 hours,19-35,Sunrise Pharma,97.4%,"Dry mouth, Fatigue",₹186.60
Acidity / GERD,Proton Pump Inhibitor,Pantoprazole,300 mg,Before meals,2 hours,51-65,Nova Health,95.4%,"Stomach upset, Fatigue, Loss of appetite",₹646.37
Osteoporosis,Supplementation,Calcium + Vitamin D3,200 mg,Once daily - Morning,4 hours,19-35,Nova Health,97.0%,Dizziness,₹567.05
Anxiety Disorder,Anxiolytic Therapy,Buspirone,250 mg,After meals,18 hours,65+,Horizon Meds,96.6%,"Fatigue, Dizziness, Blurred vision",₹219.68
Migraine,Triptan Therapy,Rizatriptan,5 mg,Every 8 hours,6 hours,13-18,Nova Health,98.6%,"Insomnia, Constipation",₹830.30
Urinary Tract Infection,Antibiotic Therapy,Nitrofurantoin,1000 mg,Thrice daily - After meals,10 hours,13-18,TrueMed Industries,95.9%,Insomnia,₹457.74
Acidity / GERD,Antacid Therapy,Omeprazole,250 mg,Before meals,6 hours,65+,Cygnus Life Sciences,95.5%,Constipation,₹247.41
High Cholesterol,Statin Therapy,Rosuvastatin,10 mg,Once daily - Morning,10 hours,36-50,MedLife Labs,99.0%,"Fatigue, Drowsiness",₹493.85
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,10 mg,Once weekly,10 hours,0-12,Nova Health,95.6%,"Constipation, None reported",₹673.80
Bacterial Infection,Antibiotic Therapy,Doxycycline,200 mg,Before meals,18 hours,19-35,PurePath Pharma,98.0%,"Insomnia, Drowsiness, Headache",₹534.68
Acidity / GERD,Antacid Therapy,Omeprazole,25 mg,Twice daily - Morning & Night,4 hours,13-18,Sunrise Pharma,97.0%,"Constipation, Fatigue, Dizziness",₹35.48
Allergy,Antihistamine Therapy,Loratadine,1000 mg,Every 6 hours,4 hours,65+,Nova Health,99.5%,"Constipation, Diarrhea, Headache",₹365.97
Skin Infection (Fungal),Antifungal Therapy,Clotrimazole,10 mg,Before meals,6 hours,0-12,Sunrise Pharma,95.8%,"Constipation, Insomnia",₹702.01
Allergy,Antihistamine Therapy,Cetrizine,200 mg,Before meals,18 hours,19-35,Horizon Meds,97.6%,"Drowsiness, Constipation",₹41.56
Insomnia,Sedative Therapy,Doxylamine,50 mg,Once daily - Morning,4 hours,13-18,Zenith Biocare,99.1%,"Constipation, Nausea, Diarrhea",₹699.64
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,200 mg,Every 8 hours,24 hours,19-35,Greenfield Biotech,99.9%,"Diarrhea, Fatigue",₹823.94
High Cholesterol,Statin Therapy,Rosuvastatin,100 mg,After meals,4 hours,13-18,TrueMed Industries,97.0%,"Dizziness, Diarrhea",₹803.85
Peptic Ulcer,Proton Pump Inhibitor,Pantoprazole,5 mg,After meals,10 hours,19-35,MedLife Labs,99.8%,"None reported, Loss of appetite",₹702.59
Common Cold,Rest & Hydration,Phenylephrine Combo,150 mg,Once daily - Morning,8 hours,51-65,TrueMed Industries,98.1%,"Diarrhea, Fatigue",₹647.91
Asthma,Steroid Inhalation,Montelukast,10 mg,Before meals,24 hours,65+,Cygnus Life Sciences,95.6%,"Constipation, Blurred vision, Headache",₹605.64
Allergy,Antihistamine Therapy,Loratadine,150 mg,Once daily - Night,8 hours,0-12,Cygnus Life Sciences,99.6%,"None reported, Dry mouth, Fatigue",₹793.29
Allergy,Antihistamine Therapy,Levocetirizine,1000 mg,Every 6 hours,24 hours,13-18,Cygnus Life Sciences,97.7%,"Headache, Constipation",₹435.94
Hypertension,ACE Inhibitor Therapy,Metoprolol,750 mg,As needed (SOS),12 hours,51-65,Vitacore Pharmaceuticals,99.0%,"Insomnia, Dizziness",₹713.15
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,200 mg,Every 8 hours,24 hours,19-35,TrueMed Industries,97.7%,"Stomach upset, Fatigue, Mild rash",₹740.20
Osteoporosis,Bisphosphonate Therapy,Calcium + Vitamin D3,25 mg,As needed (SOS),2 hours,19-35,Silver Cross Pharma,97.3%,"Stomach upset, Diarrhea",₹675.20
Vitamin D Deficiency,Supplementation,Cholecalciferol,2.5 mg,Twice daily - Morning & Night,12 hours,0-12,Cygnus Life Sciences,95.5%,"Nausea, Insomnia",₹129.38
Vitamin D Deficiency,Supplementation,Cholecalciferol,200 mg,Before meals,12 hours,51-65,Silver Cross Pharma,96.9%,None reported,₹284.65
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,500 mg,Every 6 hours,2 hours,51-65,MedLife Labs,96.2%,"Dizziness, Headache, Insomnia",₹84.10
Migraine,Triptan Therapy,Rizatriptan,10 mg,Before meals,2 hours,0-12,TrueMed Industries,98.9%,"Mild rash, None reported",₹370.64
Bacterial Infection,Antibiotic Therapy,Azithromycin,10 mg,Twice daily - Morning & Night,4 hours,51-65,Wellspring Rx,98.0%,Fatigue,₹776.60
Hypertension,ACE Inhibitor Therapy,Hydrochlorothiazide,500 mg,Before meals,24 hours,19-35,Zenith Biocare,95.0%,"Dizziness, Diarrhea",₹468.24
Headache,Analgesic Therapy,Ibuprofen,300 mg,Before meals,18 hours,65+,Vitacore Pharmaceuticals,97.2%,"Headache, Stomach upset",₹726.51
Migraine,Triptan Therapy,Rizatriptan,300 mg,After meals,10 hours,65+,Vitacore Pharmaceuticals,95.1%,"Stomach upset, Dizziness, Nausea",₹484.51
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,1000 mg,Before meals,8 hours,51-65,TrueMed Industries,96.1%,Constipation,₹219.03
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,500 mg,Once daily - Morning,10 hours,36-50,Sunrise Pharma,97.8%,"Dry mouth, Drowsiness, Dizziness",₹283.10
Insomnia,Sedative Therapy,Zolpidem,10 mg,Every 8 hours,12 hours,51-65,Horizon Meds,99.5%,Dizziness,₹777.63
High Cholesterol,Statin Therapy,Simvastatin,1000 mg,After meals,4 hours,36-50,MedLife Labs,95.7%,None reported,₹577.46
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,5 mg,As needed (SOS),2 hours,19-35,Horizon Meds,95.6%,"Diarrhea, Insomnia",₹574.11
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,100 mg,Once daily - Night,8 hours,36-50,Sunrise Pharma,98.0%,"Mild rash, Constipation, Headache",₹553.32
Vitamin D Deficiency,Supplementation,Cholecalciferol,500 mg,As needed (SOS),4 hours,13-18,Sunrise Pharma,99.6%,"Fatigue, Drowsiness",₹89.84
Skin Infection (Fungal),Antifungal Therapy,Terbinafine,200 mg,After meals,18 hours,51-65,Silver Cross Pharma,98.6%,"Diarrhea, Drowsiness",₹709.97
Cough & Cold,Antitussive Therapy,Ambroxol,2.5 mg,After meals,8 hours,36-50,Cygnus Life Sciences,99.7%,"Drowsiness, Diarrhea",₹317.30
Vitamin D Deficiency,Supplementation,Cholecalciferol,150 mg,Before meals,8 hours,0-12,Cygnus Life Sciences,95.4%,Diarrhea,₹546.45
Common Cold,Antihistamine Therapy,Paracetamol,25 mg,Twice daily - Morning & Night,8 hours,0-12,Horizon Meds,96.0%,None reported,₹740.28
Arthritis,NSAID Therapy,Naproxen,2.5 mg,Before meals,6 hours,13-18,Horizon Meds,96.2%,Drowsiness,₹564.61
Common Cold,Antihistamine Therapy,Cetrizine,100 mg,Thrice daily - After meals,12 hours,0-12,Greenfield Biotech,96.3%,Insomnia,₹362.45
Migraine,Triptan Therapy,Rizatriptan,200 mg,After meals,4 hours,36-50,Horizon Meds,96.1%,"Nausea, Insomnia, Diarrhea",₹447.06
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,200 mg,As needed (SOS),18 hours,65+,MedLife Labs,97.4%,"Drowsiness, None reported",₹279.22
Hypertension,ACE Inhibitor Therapy,Losartan,50 mg,Once weekly,12 hours,36-50,PurePath Pharma,97.6%,"Loss of appetite, Constipation",₹370.23
Osteoporosis,Bisphosphonate Therapy,Alendronate,150 mg,Every 6 hours,8 hours,36-50,TrueMed Industries,99.1%,"Stomach upset, Insomnia",₹88.06
Insomnia,Sedative Therapy,Doxylamine,50 mg,After meals,6 hours,65+,Cygnus Life Sciences,95.3%,Drowsiness,₹371.64
Chronic Pain,Analgesic Therapy,Tramadol,250 mg,Once daily - Morning,12 hours,65+,MedLife Labs,97.0%,"Blurred vision, Stomach upset, Insomnia",₹51.32
Allergy,Antihistamine Therapy,Levocetirizine,5 mg,Once weekly,8 hours,13-18,Zenith Biocare,97.4%,Mild rash,₹719.80
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,300 mg,Thrice daily - After meals,18 hours,51-65,PurePath Pharma,98.0%,"Loss of appetite, Nausea, Constipation",₹790.29
Osteoporosis,Supplementation,Alendronate,10 mg,Before meals,10 hours,19-35,TrueMed Industries,95.0%,Constipation,₹561.48
Headache,Analgesic Therapy,Naproxen,500 mg,Once daily - Morning,4 hours,65+,Horizon Meds,96.1%,"Fatigue, Mild rash",₹140.54
Allergy,Antihistamine Therapy,Loratadine,300 mg,Once daily - Night,2 hours,13-18,Greenfield Biotech,98.7%,Diarrhea,₹76.69
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,300 mg,Every 6 hours,18 hours,19-35,Nova Health,98.7%,Mild rash,₹369.99
Allergy,Antihistamine Therapy,Loratadine,500 mg,Before meals,2 hours,13-18,Wellspring Rx,99.8%,Nausea,₹180.12
Asthma,Bronchodilator Therapy,Budesonide,50 mg,After meals,4 hours,0-12,Cygnus Life Sciences,98.7%,Dry mouth,₹328.13
Osteoporosis,Bisphosphonate Therapy,Calcium + Vitamin D3,5 mg,As needed (SOS),2 hours,36-50,Sunrise Pharma,97.3%,None reported,₹271.60
Insomnia,Sedative Therapy,Doxylamine,500 mg,As needed (SOS),10 hours,0-12,Wellspring Rx,95.1%,"Dry mouth, Blurred vision",₹805.89
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,150 mg,Once daily - Night,8 hours,36-50,PurePath Pharma,97.0%,Stomach upset,₹740.98
Chronic Pain,Analgesic Therapy,Tramadol,100 mg,Twice daily - Morning & Night,4 hours,51-65,Zenith Biocare,95.6%,"Headache, Blurred vision, Mild rash",₹303.63
Vitamin D Deficiency,Supplementation,Cholecalciferol,5 mg,Twice daily - Morning & Night,10 hours,13-18,Greenfield Biotech,98.0%,"Drowsiness, Dry mouth, Diarrhea",₹424.05
Peptic Ulcer,Proton Pump Inhibitor,Pantoprazole,1000 mg,After meals,6 hours,36-50,MedLife Labs,97.3%,"Dizziness, Blurred vision, None reported",₹505.98
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,200 mg,Every 6 hours,2 hours,0-12,TrueMed Industries,99.1%,Diarrhea,₹735.70
Headache,Analgesic Therapy,Ibuprofen,300 mg,Every 8 hours,2 hours,36-50,PurePath Pharma,98.2%,"Constipation, Fatigue",₹430.15
Fever,Antipyretic Therapy,Paracetamol,750 mg,After meals,4 hours,51-65,Zenith Biocare,95.8%,Insomnia,₹376.59
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,100 mg,Before meals,18 hours,36-50,TrueMed Industries,98.3%,Blurred vision,₹539.21
Arthritis,NSAID Therapy,Ibuprofen,5 mg,Every 8 hours,18 hours,19-35,Vitacore Pharmaceuticals,98.5%,"Constipation, Dry mouth, Mild rash",₹76.62
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,50 mg,As needed (SOS),6 hours,51-65,Silver Cross Pharma,99.6%,"Loss of appetite, Stomach upset",₹549.82
Arthritis,NSAID Therapy,Naproxen,650 mg,Every 8 hours,4 hours,65+,Zenith Biocare,97.1%,"Nausea, Mild rash",₹268.07
Asthma,Steroid Inhalation,Budesonide,25 mg,Thrice daily - After meals,6 hours,13-18,MedLife Labs,96.4%,Loss of appetite,₹657.08
Chronic Pain,Analgesic Therapy,Paracetamol,100 mg,Once weekly,6 hours,51-65,Wellspring Rx,95.8%,None reported,₹591.38
Cough & Cold,Antitussive Therapy,Levocetirizine Combo,200 mg,Once daily - Morning,18 hours,19-35,Zenith Biocare,98.5%,"Constipation, Dizziness",₹641.51
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,50 mg,Every 6 hours,8 hours,19-35,Zenith Biocare,99.6%,"Fatigue, Blurred vision",₹245.25
Depression,Antidepressant Therapy,Sertraline,1000 mg,Thrice daily - After meals,6 hours,19-35,Sunrise Pharma,98.1%,"Loss of appetite, Drowsiness",₹607.00
Urinary Tract Infection,Antibiotic Therapy,Ciprofloxacin,5 mg,Twice daily - Morning & Night,10 hours,36-50,Horizon Meds,95.7%,"Drowsiness, Headache",₹695.66
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,2.5 mg,As needed (SOS),12 hours,13-18,Wellspring Rx,99.9%,"Headache, Nausea",₹276.33
Migraine,Analgesic Therapy,Sumatriptan,10 mg,Once daily - Morning,10 hours,36-50,Silver Cross Pharma,99.1%,"Fatigue, None reported, Constipation",₹12.42
Headache,Analgesic Therapy,Ibuprofen,25 mg,Twice daily - Morning & Night,18 hours,0-12,Vitacore Pharmaceuticals,96.2%,Nausea,₹208.77
Vitamin D Deficiency,Supplementation,Cholecalciferol,5 mg,Every 6 hours,2 hours,65+,Horizon Meds,97.8%,"Dry mouth, Dizziness, Stomach upset",₹9.32
Anxiety Disorder,Anxiolytic Therapy,Buspirone,150 mg,Twice daily - Morning & Night,4 hours,51-65,TrueMed Industries,95.3%,"Loss of appetite, None reported, Blurred vision",₹474.60
Depression,Antidepressant Therapy,Sertraline,500 mg,As needed (SOS),12 hours,19-35,Silver Cross Pharma,95.1%,Mild rash,₹211.03
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,10 mg,Once daily - Morning,12 hours,51-65,TrueMed Industries,99.0%,None reported,₹664.04
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,750 mg,Twice daily - Morning & Night,4 hours,65+,Cygnus Life Sciences,95.2%,Nausea,₹674.11
Fever,Antipyretic Therapy,Ibuprofen,250 mg,As needed (SOS),24 hours,19-35,Sunrise Pharma,98.7%,Dizziness,₹308.57
Peptic Ulcer,Proton Pump Inhibitor,Pantoprazole,50 mg,Once daily - Night,12 hours,36-50,Wellspring Rx,98.6%,"Mild rash, Dry mouth",₹425.80
High Cholesterol,Statin Therapy,Simvastatin,50 mg,Once daily - Night,18 hours,0-12,Wellspring Rx,98.0%,Loss of appetite,₹255.35
Migraine,Triptan Therapy,Rizatriptan,500 mg,Before meals,10 hours,36-50,PurePath Pharma,98.5%,Insomnia,₹381.77
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,300 mg,As needed (SOS),10 hours,65+,Sunrise Pharma,95.4%,"Stomach upset, Mild rash, Loss of appetite",₹682.52
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,10 mg,Once weekly,24 hours,0-12,Greenfield Biotech,95.3%,"Mild rash, None reported, Stomach upset",₹807.45
Fever,Antipyretic Therapy,Aspirin,200 mg,After meals,12 hours,36-50,MedLife Labs,97.8%,"Mild rash, Stomach upset, None reported",₹554.93
Bacterial Infection,Antibiotic Therapy,Amoxicillin,650 mg,Twice daily - Morning & Night,24 hours,51-65,Wellspring Rx,99.5%,Dizziness,₹660.52
Osteoporosis,Supplementation,Alendronate,300 mg,Before meals,24 hours,13-18,MedLife Labs,95.7%,Fatigue,₹153.38
Osteoporosis,Supplementation,Alendronate,750 mg,After meals,12 hours,65+,MedLife Labs,97.7%,"Dizziness, Dry mouth",₹607.34
Osteoporosis,Bisphosphonate Therapy,Calcium + Vitamin D3,250 mg,Thrice daily - After meals,4 hours,13-18,Greenfield Biotech,96.2%,"Nausea, Mild rash",₹474.49
Anxiety Disorder,Anxiolytic Therapy,Buspirone,10 mg,Once weekly,4 hours,0-12,Vitacore Pharmaceuticals,97.0%,"Insomnia, Fatigue, Loss of appetite",₹353.89
Insomnia,Sedative Therapy,Zolpidem,100 mg,Once daily - Night,24 hours,36-50,Zenith Biocare,97.5%,None reported,₹664.98
Vitamin D Deficiency,Supplementation,Cholecalciferol,150 mg,Every 8 hours,2 hours,0-12,Horizon Meds,95.7%,Dry mouth,₹279.68
Osteoporosis,Bisphosphonate Therapy,Calcium + Vitamin D3,250 mg,Before meals,4 hours,19-35,Nova Health,98.1%,"Dizziness, Dry mouth, Diarrhea",₹262.98
Skin Infection (Fungal),Antifungal Therapy,Clotrimazole,500 mg,Twice daily - Morning & Night,6 hours,13-18,Zenith Biocare,98.1%,"Mild rash, Constipation, Nausea",₹702.85
Common Cold,Antihistamine Therapy,Cetrizine,500 mg,Once weekly,10 hours,65+,Nova Health,98.8%,"Constipation, Diarrhea",₹33.50
Vitamin D Deficiency,Supplementation,Cholecalciferol,200 mg,Thrice daily - After meals,18 hours,19-35,Cygnus Life Sciences,95.4%,Dry mouth,₹378.15
High Cholesterol,Statin Therapy,Atorvastatin,100 mg,Once weekly,6 hours,19-35,Silver Cross Pharma,96.6%,"Stomach upset, Dry mouth",₹648.48
Urinary Tract Infection,Antibiotic Therapy,Ciprofloxacin,25 mg,Every 6 hours,4 hours,19-35,Cygnus Life Sciences,96.2%,Nausea,₹252.36
Depression,Antidepressant Therapy,Sertraline,1000 mg,Twice daily - Morning & Night,12 hours,51-65,Silver Cross Pharma,96.5%,Fatigue,₹846.61
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,200 mg,Once daily - Morning,4 hours,36-50,Horizon Meds,97.2%,Headache,₹499.18
Fever,Antipyretic Therapy,Ibuprofen,200 mg,Once weekly,24 hours,19-35,Horizon Meds,95.0%,Stomach upset,₹120.77
Acidity / GERD,Proton Pump Inhibitor,Pantoprazole,100 mg,Once daily - Morning,18 hours,0-12,PurePath Pharma,97.8%,"Loss of appetite, Dizziness",₹69.91
Urinary Tract Infection,Antibiotic Therapy,Amoxicillin,50 mg,Once weekly,4 hours,13-18,MedLife Labs,96.9%,"Loss of appetite, Mild rash",₹643.68
Asthma,Steroid Inhalation,Montelukast,2.5 mg,Once daily - Morning,2 hours,13-18,Silver Cross Pharma,96.6%,"Loss of appetite, Fatigue",₹133.41
Urinary Tract Infection,Antibiotic Therapy,Ciprofloxacin,300 mg,After meals,6 hours,36-50,PurePath Pharma,98.6%,"Constipation, Mild rash",₹435.16
